ball0 : Ball
fields225.xPos = 9
fields226.xPos = 9
fields226.yPos = 1
fields227.xPos = 9
fields227.yPos = 2
fields228.xPos = 9
fields228.yPos = 3
fields229.xPos = 9
fields229.yPos = 4
fields230.xPos = 9
fields230.yPos = 5
fields231.xPos = 9
fields231.yPos = 6
fields232.xPos = 9
fields232.yPos = 7
fields233.xPos = 9
fields233.yPos = 8
fields234.xPos = 9
fields234.yPos = 9
fields235.xPos = 9
fields235.yPos = 10
fields236.xPos = 9
fields236.yPos = 11
fields237.xPos = 9
fields237.yPos = 12
fields238.xPos = 9
fields238.yPos = 13
fields239.xPos = 9
fields239.yPos = 14
fields240.xPos = 9
fields240.yPos = 15
fields241.xPos = 9
fields241.yPos = 16
fields242.xPos = 9
fields242.yPos = 17
fields243.xPos = 9
fields243.yPos = 18
fields244.xPos = 9
fields244.yPos = 19
fields245.xPos = 9
fields245.yPos = 20
fields246.xPos = 9
fields246.yPos = 21
fields247.xPos = 9
fields247.yPos = 22
fields248.xPos = 9
fields248.yPos = 23
fields249.xPos = 9
fields249.yPos = 24
fields250.xPos = 10
fields251.xPos = 10
fields251.yPos = 1
fields252.xPos = 10
fields252.yPos = 2
fields253.xPos = 10
fields253.yPos = 3
fields254.xPos = 10
fields254.yPos = 4
fields255.xPos = 10
fields255.yPos = 5
fields256.xPos = 10
fields256.yPos = 6
fields257.xPos = 10
fields257.yPos = 7
fields258.xPos = 10
fields258.yPos = 8
fields259.xPos = 10
fields259.yPos = 9
fields260.xPos = 10
fields260.yPos = 10
fields261.xPos = 10
fields261.yPos = 11
fields262.xPos = 10
fields262.yPos = 12
fields263.xPos = 10
fields263.yPos = 13
fields264.xPos = 10
fields264.yPos = 14
fields265.xPos = 10
fields265.yPos = 15
fields266.xPos = 10
fields266.yPos = 16
fields267.xPos = 10
fields267.yPos = 17
fields268.xPos = 10
fields268.yPos = 18
fields269.xPos = 10
fields269.yPos = 19
fields270.xPos = 10
fields270.yPos = 20
fields271.xPos = 10
fields271.yPos = 21
fields272.xPos = 10
fields272.yPos = 22
fields273.xPos = 10
fields273.yPos = 23
fields274.xPos = 10
fields274.yPos = 24
fields275.xPos = 11
fields276.xPos = 11
fields276.yPos = 1
fields277.xPos = 11
fields277.yPos = 2
fields278.xPos = 11
fields278.yPos = 3
fields279.xPos = 11
fields279.yPos = 4
fields280.xPos = 11
fields280.yPos = 5
fields281.xPos = 11
fields281.yPos = 6
fields282.xPos = 11
fields282.yPos = 7
fields283.xPos = 11
fields283.yPos = 8
fields284.xPos = 11
fields284.yPos = 9
fields285.xPos = 11
fields285.yPos = 10
fields286.xPos = 11
fields286.yPos = 11
fields287.xPos = 11
fields287.yPos = 12
fields288.xPos = 11
fields288.yPos = 13
fields289.xPos = 11
fields289.yPos = 14
fields290.xPos = 11
fields290.yPos = 15
fields291.xPos = 11
fields291.yPos = 16
fields292.xPos = 11
fields292.yPos = 17
fields293.xPos = 11
fields293.yPos = 18
fields294.xPos = 11
fields294.yPos = 19
fields295.xPos = 11
fields295.yPos = 20
fields296.xPos = 11
fields296.yPos = 21
fields297.xPos = 11
fields297.yPos = 22
fields298.xPos = 11
fields298.yPos = 23
fields299.xPos = 11
fields299.yPos = 24
fields300.xPos = 12
fields301.xPos = 12
fields301.yPos = 1
fields302.xPos = 12
fields302.yPos = 2
fields303.xPos = 12
fields303.yPos = 3
fields304.xPos = 12
fields304.yPos = 4
fields305.xPos = 12
fields305.yPos = 5
fields306.xPos = 12
fields306.yPos = 6
fields307.xPos = 12
fields307.yPos = 7
fields308.xPos = 12
fields308.yPos = 8
fields309.xPos = 12
fields309.yPos = 9
fields310.xPos = 12
fields310.yPos = 10
fields311.xPos = 12
fields311.yPos = 11
fields312.xPos = 12
fields312.yPos = 12
fields313.xPos = 12
fields313.yPos = 13
fields314.xPos = 12
fields314.yPos = 14
fields315.xPos = 12
fields315.yPos = 15
fields316.xPos = 12
fields316.yPos = 16
fields317.xPos = 12
fields317.yPos = 17
fields318.xPos = 12
fields318.yPos = 18
fields319.xPos = 12
fields319.yPos = 19
fields320.xPos = 12
fields320.yPos = 20
fields321.xPos = 12
fields321.yPos = 21
fields322.xPos = 12
fields322.yPos = 22
fields323.xPos = 12
fields323.yPos = 23
fields324.xPos = 12
fields324.yPos = 24
fields325.xPos = 13
fields326.xPos = 13
fields326.yPos = 1
fields327.xPos = 13
fields327.yPos = 2
fields328.xPos = 13
fields328.yPos = 3
fields329.xPos = 13
fields329.yPos = 4
fields330.xPos = 13
fields330.yPos = 5
fields331.xPos = 13
fields331.yPos = 6
fields332.xPos = 13
fields332.yPos = 7
fields333.xPos = 13
fields333.yPos = 8
fields334.xPos = 13
fields334.yPos = 9
fields335.xPos = 13
fields335.yPos = 10
fields336.xPos = 13
fields336.yPos = 11
fields337.xPos = 13
fields337.yPos = 12
fields338.xPos = 13
fields338.yPos = 13
fields339.xPos = 13
fields339.yPos = 14
fields340.xPos = 13
fields340.yPos = 15
fields341.xPos = 13
fields341.yPos = 16
fields342.xPos = 13
fields342.yPos = 17
fields343.xPos = 13
fields343.yPos = 18
fields344.xPos = 13
fields344.yPos = 19
fields345.xPos = 13
fields345.yPos = 20
fields346.xPos = 13
fields346.yPos = 21
fields347.xPos = 13
fields347.yPos = 22
fields348.xPos = 13
fields348.yPos = 23
fields349.xPos = 13
fields349.yPos = 24
fields350.xPos = 14
fields351.xPos = 14
fields351.yPos = 1
fields352.xPos = 14
fields352.yPos = 2
fields353.xPos = 14
fields353.yPos = 3
fields354.xPos = 14
fields354.yPos = 4
fields355.xPos = 14
fields355.yPos = 5
fields356.xPos = 14
fields356.yPos = 6
fields357.xPos = 14
fields357.yPos = 7
fields358.xPos = 14
fields358.yPos = 8
fields359.xPos = 14
fields359.yPos = 9
fields360.xPos = 14
fields360.yPos = 10
fields361.xPos = 14
fields361.yPos = 11
fields362.xPos = 14
fields362.yPos = 12
fields363.xPos = 14
fields363.yPos = 13
fields364.xPos = 14
fields364.yPos = 14
fields365.xPos = 14
fields365.yPos = 15
fields366.xPos = 14
fields366.yPos = 16
fields367.xPos = 14
fields367.yPos = 17
fields368.xPos = 14
fields368.yPos = 18
fields369.xPos = 14
fields369.yPos = 19
fields370.xPos = 14
fields370.yPos = 20
fields371.xPos = 14
fields371.yPos = 21
fields372.xPos = 14
fields372.yPos = 22
fields373.xPos = 14
fields373.yPos = 23
fields374.xPos = 14
fields374.yPos = 24
fields375.xPos = 15
fields376.xPos = 15
fields376.yPos = 1
fields377.xPos = 15
fields377.yPos = 2
fields378.xPos = 15
fields378.yPos = 3
fields379.xPos = 15
fields379.yPos = 4
fields380.xPos = 15
fields380.yPos = 5
fields381.xPos = 15
fields381.yPos = 6
fields382.xPos = 15
fields382.yPos = 7
fields383.xPos = 15
fields383.yPos = 8
fields384.xPos = 15
fields384.yPos = 9
fields385.xPos = 15
fields385.yPos = 10
fields386.xPos = 15
fields386.yPos = 11
fields387.xPos = 15
fields387.yPos = 12
fields388.xPos = 15
fields388.yPos = 13
fields389.xPos = 15
fields389.yPos = 14
fields390.xPos = 15
fields390.yPos = 15
fields391.xPos = 15
fields391.yPos = 16
fields392.xPos = 15
fields392.yPos = 17
fields393.xPos = 15
fields393.yPos = 18
fields394.xPos = 15
fields394.yPos = 19
fields395.xPos = 15
fields395.yPos = 20
fields396.xPos = 15
fields396.yPos = 21
fields397.xPos = 15
fields397.yPos = 22
fields398.xPos = 15
fields398.yPos = 23
fields399.xPos = 15
fields399.yPos = 24
fields400.xPos = 16
fields401.xPos = 16
fields401.yPos = 1
fields402.xPos = 16
fields402.yPos = 2
fields403.xPos = 16
fields403.yPos = 3
fields404.xPos = 16
fields404.yPos = 4
fields405.xPos = 16
fields405.yPos = 5
fields406.xPos = 16
fields406.yPos = 6
fields407.xPos = 16
fields407.yPos = 7
fields408.xPos = 16
fields408.yPos = 8
fields409.xPos = 16
fields409.yPos = 9
fields410.xPos = 16
fields410.yPos = 10
fields411.xPos = 16
fields411.yPos = 11
fields412.xPos = 16
fields412.yPos = 12
fields413.xPos = 16
fields413.yPos = 13
fields414.xPos = 16
fields414.yPos = 14
fields415.xPos = 16
fields415.yPos = 15
fields416.xPos = 16
fields416.yPos = 16
fields417.xPos = 16
fields417.yPos = 17
fields418.xPos = 16
fields418.yPos = 18
fields419.xPos = 16
fields419.yPos = 19
fields420.xPos = 16
fields420.yPos = 20
fields421.xPos = 16
fields421.yPos = 21
fields422.xPos = 16
fields422.yPos = 22
fields423.xPos = 16
fields423.yPos = 23
fields424.xPos = 16
fields424.yPos = 24
fields425.xPos = 17
fields426.xPos = 17
fields426.yPos = 1
fields427.xPos = 17
fields427.yPos = 2
fields428.xPos = 17
fields428.yPos = 3
fields429.xPos = 17
fields429.yPos = 4
fields430.xPos = 17
fields430.yPos = 5
fields431.xPos = 17
fields431.yPos = 6
fields432.xPos = 17
fields432.yPos = 7
fields433.xPos = 17
fields433.yPos = 8
fields434.xPos = 17
fields434.yPos = 9
fields435.xPos = 17
fields435.yPos = 10
fields436.xPos = 17
fields436.yPos = 11
fields437.xPos = 17
fields437.yPos = 12
fields438.xPos = 17
fields438.yPos = 13
fields439.xPos = 17
fields439.yPos = 14
fields440.xPos = 17
fields440.yPos = 15
fields441.xPos = 17
fields441.yPos = 16
fields442.xPos = 17
fields442.yPos = 17
fields443.xPos = 17
fields443.yPos = 18
fields444.xPos = 17
fields444.yPos = 19
fields445.xPos = 17
fields445.yPos = 20
fields446.xPos = 17
fields446.yPos = 21
fields447.xPos = 17
fields447.yPos = 22
fields448.xPos = 17
fields448.yPos = 23
fields449.xPos = 17
fields449.yPos = 24
fields450.xPos = 18
fields451.xPos = 18
fields451.yPos = 1
fields452.xPos = 18
fields452.yPos = 2
fields453.xPos = 18
fields453.yPos = 3
fields454.xPos = 18
fields454.yPos = 4
fields455.xPos = 18
fields455.yPos = 5
fields456.xPos = 18
fields456.yPos = 6
fields457.xPos = 18
fields457.yPos = 7
fields458.xPos = 18
fields458.yPos = 8
fields459.xPos = 18
fields459.yPos = 9
fields460.xPos = 18
fields460.yPos = 10
fields461.xPos = 18
fields461.yPos = 11
fields462.xPos = 18
fields462.yPos = 12
fields463.xPos = 18
fields463.yPos = 13
fields464.xPos = 18
fields464.yPos = 14
fields465.xPos = 18
fields465.yPos = 15
fields466.xPos = 18
fields466.yPos = 16
fields467.xPos = 18
fields467.yPos = 17
fields468.xPos = 18
fields468.yPos = 18
fields469.xPos = 18
fields469.yPos = 19
fields470.xPos = 18
fields470.yPos = 20
fields471.xPos = 18
fields471.yPos = 21
fields472.xPos = 18
fields472.yPos = 22
fields473.xPos = 18
fields473.yPos = 23
fields474.xPos = 18
fields474.yPos = 24
fields475.xPos = 19
fields476.xPos = 19
fields476.yPos = 1
fields477.xPos = 19
fields477.yPos = 2
fields478.xPos = 19
fields478.yPos = 3
fields479.xPos = 19
fields479.yPos = 4
fields480.xPos = 19
fields480.yPos = 5
fields481.xPos = 19
fields481.yPos = 6
fields482.xPos = 19
fields482.yPos = 7
fields483.xPos = 19
fields483.yPos = 8
fields484.xPos = 19
fields484.yPos = 9
fields485.xPos = 19
fields485.yPos = 10
fields486.xPos = 19
fields486.yPos = 11
fields487.xPos = 19
fields487.yPos = 12
fields488.xPos = 19
fields488.yPos = 13
fields489.xPos = 19
fields489.yPos = 14
fields490.xPos = 19
fields490.yPos = 15
fields491.xPos = 19
fields491.yPos = 16
fields492.xPos = 19
fields492.yPos = 17
fields493.xPos = 19
fields493.yPos = 18
fields494.xPos = 19
fields494.yPos = 19
fields495.xPos = 19
fields495.yPos = 20
fields496.xPos = 19
fields496.yPos = 21
fields497.xPos = 19
fields497.yPos = 22
fields498.xPos = 19
fields498.yPos = 23
fields499.xPos = 19
fields499.yPos = 24
fields500.xPos = 20
fields501.xPos = 20
fields501.yPos = 1
fields502.xPos = 20
fields502.yPos = 2
fields503.xPos = 20
fields503.yPos = 3
fields504.xPos = 20
fields504.yPos = 4
fields505.xPos = 20
fields505.yPos = 5
fields506.xPos = 20
fields506.yPos = 6
fields507.xPos = 20
fields507.yPos = 7
fields508.xPos = 20
fields508.yPos = 8
fields509.xPos = 20
fields509.yPos = 9
fields510.xPos = 20
fields510.yPos = 10
fields511.xPos = 20
fields511.yPos = 11
fields512.xPos = 20
fields512.yPos = 12
fields513.xPos = 20
fields513.yPos = 13
fields514.xPos = 20
fields514.yPos = 14
fields515.xPos = 20
fields515.yPos = 15
fields516.xPos = 20
fields516.yPos = 16
fields517.xPos = 20
fields517.yPos = 17
fields518.xPos = 20
fields518.yPos = 18
fields519.xPos = 20
fields519.yPos = 19
fields520.xPos = 20
fields520.yPos = 20
fields521.xPos = 20
fields521.yPos = 21
fields522.xPos = 20
fields522.yPos = 22
fields523.xPos = 20
fields523.yPos = 23
fields524.xPos = 20
fields524.yPos = 24
fields525.xPos = 21
fields526.xPos = 21
fields526.yPos = 1
fields527.xPos = 21
fields527.yPos = 2
fields528.xPos = 21
fields528.yPos = 3
fields529.xPos = 21
fields529.yPos = 4
fields530.xPos = 21
fields530.yPos = 5
fields531.xPos = 21
fields531.yPos = 6
fields532.xPos = 21
fields532.yPos = 7
fields533.xPos = 21
fields533.yPos = 8
fields534.xPos = 21
fields534.yPos = 9
fields535.xPos = 21
fields535.yPos = 10
fields536.xPos = 21
fields536.yPos = 11
fields537.xPos = 21
fields537.yPos = 12
fields538.xPos = 21
fields538.yPos = 13
fields539.xPos = 21
fields539.yPos = 14
fields540.xPos = 21
fields540.yPos = 15
fields541.xPos = 21
fields541.yPos = 16
fields542.xPos = 21
fields542.yPos = 17
fields543.xPos = 21
fields543.yPos = 18
fields544.xPos = 21
fields544.yPos = 19
fields545.xPos = 21
fields545.yPos = 20
fields546.xPos = 21
fields546.yPos = 21
fields547.xPos = 21
fields547.yPos = 22
fields548.xPos = 21
fields548.yPos = 23
fields549.xPos = 21
fields549.yPos = 24
fields550.xPos = 22
fields551.xPos = 22
fields551.yPos = 1
fields552.xPos = 22
fields552.yPos = 2
fields553.xPos = 22
fields553.yPos = 3
fields554.xPos = 22
fields554.yPos = 4
fields555.xPos = 22
fields555.yPos = 5
fields556.xPos = 22
fields556.yPos = 6
fields557.xPos = 22
fields557.yPos = 7
fields558.xPos = 22
fields558.yPos = 8
fields559.xPos = 22
fields559.yPos = 9
fields560.xPos = 22
fields560.yPos = 10
fields561.xPos = 22
fields561.yPos = 11
fields562.xPos = 22
fields562.yPos = 12
fields563.xPos = 22
fields563.yPos = 13
fields564.xPos = 22
fields564.yPos = 14
fields565.xPos = 22
fields565.yPos = 15
fields566.xPos = 22
fields566.yPos = 16
fields567.xPos = 22
fields567.yPos = 17
fields568.xPos = 22
fields568.yPos = 18
fields569.xPos = 22
fields569.yPos = 19
fields570.xPos = 22
fields570.yPos = 20
fields571.xPos = 22
fields571.yPos = 21
fields572.xPos = 22
fields572.yPos = 22
fields573.xPos = 22
fields573.yPos = 23
fields574.xPos = 22
fields574.yPos = 24
fields575.xPos = 23
fields576.xPos = 23
fields576.yPos = 1
fields577.xPos = 23
fields577.yPos = 2
fields578.xPos = 23
fields578.yPos = 3
fields579.xPos = 23
fields579.yPos = 4
fields580.xPos = 23
fields580.yPos = 5
fields581.xPos = 23
fields581.yPos = 6
fields582.xPos = 23
fields582.yPos = 7
fields583.xPos = 23
fields583.yPos = 8
fields584.xPos = 23
fields584.yPos = 9
fields585.xPos = 23
fields585.yPos = 10
fields586.xPos = 23
fields586.yPos = 11
fields587.xPos = 23
fields587.yPos = 12
fields588.xPos = 23
fields588.yPos = 13
fields589.xPos = 23
fields589.yPos = 14
fields590.xPos = 23
fields590.yPos = 15
fields591.xPos = 23
fields591.yPos = 16
fields592.xPos = 23
fields592.yPos = 17
fields593.xPos = 23
fields593.yPos = 18
fields594.xPos = 23
fields594.yPos = 19
fields595.xPos = 23
fields595.yPos = 20
fields596.xPos = 23
fields596.yPos = 21
fields597.xPos = 23
fields597.yPos = 22
fields598.xPos = 23
fields598.yPos = 23
fields599.xPos = 23
fields599.yPos = 24
fields600.xPos = 24
fields601.xPos = 24
fields601.yPos = 1
fields602.xPos = 24
fields602.yPos = 2
fields603.xPos = 24
fields603.yPos = 3
fields604.xPos = 24
fields604.yPos = 4
fields605.xPos = 24
fields605.yPos = 5
fields606.xPos = 24
fields606.yPos = 6
fields607.xPos = 24
fields607.yPos = 7
fields608.xPos = 24
fields608.yPos = 8
fields609.xPos = 24
fields609.yPos = 9
fields610.xPos = 24
fields610.yPos = 10
fields611.xPos = 24
fields611.yPos = 11
fields612.xPos = 24
fields612.yPos = 12
fields613.xPos = 24
fields613.yPos = 13
fields614.xPos = 24
fields614.yPos = 14
fields615.xPos = 24
fields615.yPos = 15
fields616.xPos = 24
fields616.yPos = 16
fields617.xPos = 24
fields617.yPos = 17
fields618.xPos = 24
fields618.yPos = 18
fields619.xPos = 24
fields619.yPos = 19
fields620.xPos = 24
fields620.yPos = 20
fields621.xPos = 24
fields621.yPos = 21
fields622.xPos = 24
fields622.yPos = 22
fields623.xPos = 24
fields623.yPos = 23
fields624.xPos = 24
fields624.yPos = 24
fields625.xPos = 25
fields626.xPos = 25
fields626.yPos = 1
fields627.xPos = 25
fields627.yPos = 2
fields628.xPos = 25
fields628.yPos = 3
fields629.xPos = 25
fields629.yPos = 4
fields630.xPos = 25
fields630.yPos = 5
fields631.xPos = 25
fields631.yPos = 6
fields632.xPos = 25
fields632.yPos = 7
fields633.xPos = 25
fields633.yPos = 8
fields634.xPos = 25
fields634.yPos = 9
fields635.xPos = 25
fields635.yPos = 10
fields636.xPos = 25
fields636.yPos = 11
fields637.xPos = 25
fields637.yPos = 12
fields638.xPos = 25
fields638.yPos = 13
fields639.xPos = 25
fields639.yPos = 14
fields640.xPos = 25
fields640.yPos = 15
fields641.xPos = 25
fields641.yPos = 16
fields642.xPos = 25
fields642.yPos = 17
fields643.xPos = 25
fields643.yPos = 18
fields644.xPos = 25
fields644.yPos = 19
fields645.xPos = 25
fields645.yPos = 20
fields646.xPos = 25
fields646.yPos = 21
fields647.xPos = 25
fields647.yPos = 22
fields648.xPos = 25
fields648.yPos = 23
fields649.xPos = 25
fields649.yPos = 24
fields650.xPos = 26
fields651.xPos = 26
fields651.yPos = 1
fields652.xPos = 26
fields652.yPos = 2
fields653.xPos = 26
fields653.yPos = 3
fields654.xPos = 26
fields654.yPos = 4
fields655.xPos = 26
fields655.yPos = 5
fields656.xPos = 26
fields656.yPos = 6
fields657.xPos = 26
fields657.yPos = 7
fields658.xPos = 26
fields658.yPos = 8
fields659.xPos = 26
fields659.yPos = 9
fields660.xPos = 26
fields660.yPos = 10
fields661.xPos = 26
fields661.yPos = 11
fields662.xPos = 26
fields662.yPos = 12
fields663.xPos = 26
fields663.yPos = 13
fields664.xPos = 26
fields664.yPos = 14
fields665.xPos = 26
fields665.yPos = 15
fields666.xPos = 26
fields666.yPos = 16
fields667.xPos = 26
fields667.yPos = 17
fields668.xPos = 26
fields668.yPos = 18
fields669.xPos = 26
fields669.yPos = 19
fields670.xPos = 26
fields670.yPos = 20
fields671.xPos = 26
fields671.yPos = 21
fields672.xPos = 26
fields672.yPos = 22
fields673.xPos = 26
fields673.yPos = 23
fields674.xPos = 26
fields674.yPos = 24
fields675.xPos = 27
fields676.xPos = 27
fields676.yPos = 1
fields677.xPos = 27
fields677.yPos = 2
fields678.xPos = 27
fields678.yPos = 3
fields679.xPos = 27
fields679.yPos = 4
fields680.xPos = 27
fields680.yPos = 5
fields681.xPos = 27
fields681.yPos = 6
fields682.xPos = 27
fields682.yPos = 7
fields683.xPos = 27
fields683.yPos = 8
fields684.xPos = 27
fields684.yPos = 9
ball0 : fields684.ball
players9 : fields684.players
players8 : fields684.players
players6 : fields684.players
players10 : fields684.players
players12 : fields684.players
players14 : fields684.players
players16 : fields684.players
players5 : fields684.players
players11 : fields684.players
players2 : fields684.players
players4 : fields684.players
players15 : fields684.players
fields685.xPos = 27
fields685.yPos = 10
fields686.xPos = 27
fields686.yPos = 11
fields687.xPos = 27
fields687.yPos = 12
fields688.xPos = 27
fields688.yPos = 13
fields689.xPos = 27
fields689.yPos = 14
fields690.xPos = 27
fields690.yPos = 15
fields691.xPos = 27
fields691.yPos = 16
fields692.xPos = 27
fields692.yPos = 17
fields693.xPos = 27
fields693.yPos = 18
fields694.xPos = 27
fields694.yPos = 19
fields695.xPos = 27
fields695.yPos = 20
fields696.xPos = 27
fields696.yPos = 21
fields697.xPos = 27
fields697.yPos = 22
fields698.xPos = 27
fields698.yPos = 23
fields699.xPos = 27
fields699.yPos = 24
players7 : fields699.players
players3 : fields699.players
players13 : fields699.players
players17 : fields699.players
fields700.xPos = 28
fields701.xPos = 28
fields701.yPos = 1
fields702.xPos = 28
fields702.yPos = 2
fields703.xPos = 28
fields703.yPos = 3
fields704.xPos = 28
fields704.yPos = 4
fields705.xPos = 28
fields705.yPos = 5
fields706.xPos = 28
fields706.yPos = 6
fields707.xPos = 28
fields707.yPos = 7
fields708.xPos = 28
fields708.yPos = 8
fields709.xPos = 28
fields709.yPos = 9
fields710.xPos = 28
fields710.yPos = 10
fields711.xPos = 28
fields711.yPos = 11
fields712.xPos = 28
fields712.yPos = 12
fields713.xPos = 28
fields713.yPos = 13
fields714.xPos = 28
fields714.yPos = 14
fields715.xPos = 28
fields715.yPos = 15
fields716.xPos = 28
fields716.yPos = 16
fields717.xPos = 28
fields717.yPos = 17
fields718.xPos = 28
fields718.yPos = 18
fields719.xPos = 28
fields719.yPos = 19
fields720.xPos = 28
fields720.yPos = 20
fields721.xPos = 28
fields721.yPos = 21
fields722.xPos = 28
fields722.yPos = 22
fields723.xPos = 28
fields723.yPos = 23
fields724.xPos = 28
fields724.yPos = 24
fields725.xPos = 29
fields726.xPos = 29
fields726.yPos = 1
fields727.xPos = 29
fields727.yPos = 2
fields728.xPos = 29
fields728.yPos = 3
fields729.xPos = 29
fields729.yPos = 4
fields730.xPos = 29
fields730.yPos = 5
fields731.xPos = 29
fields731.yPos = 6
fields732.xPos = 29
fields732.yPos = 7
fields733.xPos = 29
fields733.yPos = 8
fields734.xPos = 29
fields734.yPos = 9
fields735.xPos = 29
fields735.yPos = 10
fields736.xPos = 29
fields736.yPos = 11
fields737.xPos = 29
fields737.yPos = 12
fields738.xPos = 29
fields738.yPos = 13
fields739.xPos = 29
fields739.yPos = 14
fields740.xPos = 29
fields740.yPos = 15
fields741.xPos = 29
fields741.yPos = 16
fields742.xPos = 29
fields742.yPos = 17
fields743.xPos = 29
fields743.yPos = 18
fields744.xPos = 29
fields744.yPos = 19
fields745.xPos = 29
fields745.yPos = 20
fields746.xPos = 29
fields746.yPos = 21
fields747.xPos = 29
fields747.yPos = 22
fields748.xPos = 29
fields748.yPos = 23
fields749.xPos = 29
fields749.yPos = 24
fields750.xPos = 30
fields751.xPos = 30
fields751.yPos = 1
fields752.xPos = 30
fields752.yPos = 2
fields753.xPos = 30
fields753.yPos = 3
fields754.xPos = 30
fields754.yPos = 4
fields755.xPos = 30
fields755.yPos = 5
fields756.xPos = 30
fields756.yPos = 6
fields757.xPos = 30
fields757.yPos = 7
fields758.xPos = 30
fields758.yPos = 8
fields759.xPos = 30
fields759.yPos = 9
fields760.xPos = 30
fields760.yPos = 10
fields761.xPos = 30
fields761.yPos = 11
fields762.xPos = 30
fields762.yPos = 12
fields763.xPos = 30
fields763.yPos = 13
fields764.xPos = 30
fields764.yPos = 14
fields765.xPos = 30
fields765.yPos = 15
fields766.xPos = 30
fields766.yPos = 16
fields767.xPos = 30
fields767.yPos = 17
fields768.xPos = 30
fields768.yPos = 18
fields769.xPos = 30
fields769.yPos = 19
fields770.xPos = 30
fields770.yPos = 20
fields771.xPos = 30
fields771.yPos = 21
fields772.xPos = 30
fields772.yPos = 22
fields773.xPos = 30
fields773.yPos = 23
fields774.xPos = 30
fields774.yPos = 24
fields775.xPos = 31
fields776.xPos = 31
fields776.yPos = 1
fields777.xPos = 31
fields777.yPos = 2
fields778.xPos = 31
fields778.yPos = 3
fields779.xPos = 31
fields779.yPos = 4
fields780.xPos = 31
fields780.yPos = 5
fields781.xPos = 31
fields781.yPos = 6
fields782.xPos = 31
fields782.yPos = 7
fields783.xPos = 31
fields783.yPos = 8
fields784.xPos = 31
fields784.yPos = 9
fields785.xPos = 31
fields785.yPos = 10
fields786.xPos = 31
fields786.yPos = 11
fields787.xPos = 31
fields787.yPos = 12
fields788.xPos = 31
fields788.yPos = 13
fields789.xPos = 31
fields789.yPos = 14
fields790.xPos = 31
fields790.yPos = 15
fields791.xPos = 31
fields791.yPos = 16
fields792.xPos = 31
fields792.yPos = 17
fields793.xPos = 31
fields793.yPos = 18
fields794.xPos = 31
fields794.yPos = 19
fields795.xPos = 31
fields795.yPos = 20
fields796.xPos = 31
fields796.yPos = 21
fields797.xPos = 31
fields797.yPos = 22
fields798.xPos = 31
fields798.yPos = 23
fields799.xPos = 31
fields799.yPos = 24
fields800.xPos = 32
fields801.xPos = 32
fields801.yPos = 1
fields802.xPos = 32
fields802.yPos = 2
fields803.xPos = 32
fields803.yPos = 3
fields804.xPos = 32
fields804.yPos = 4
fields805.xPos = 32
fields805.yPos = 5
fields806.xPos = 32
fields806.yPos = 6
fields807.xPos = 32
fields807.yPos = 7
fields808.xPos = 32
fields808.yPos = 8
fields809.xPos = 32
fields809.yPos = 9
fields810.xPos = 32
fields810.yPos = 10
fields811.xPos = 32
fields811.yPos = 11
fields812.xPos = 32
fields812.yPos = 12
fields813.xPos = 32
fields813.yPos = 13
fields814.xPos = 32
fields814.yPos = 14
fields815.xPos = 32
fields815.yPos = 15
fields816.xPos = 32
fields816.yPos = 16
fields817.xPos = 32
fields817.yPos = 17
fields818.xPos = 32
fields818.yPos = 18
fields819.xPos = 32
fields819.yPos = 19
fields820.xPos = 32
fields820.yPos = 20
fields821.xPos = 32
fields821.yPos = 21
fields822.xPos = 32
fields822.yPos = 22
fields823.xPos = 32
fields823.yPos = 23
fields824.xPos = 32
fields824.yPos = 24
fields825.xPos = 33
fields826.xPos = 33
fields826.yPos = 1
fields827.xPos = 33
fields827.yPos = 2
fields828.xPos = 33
fields828.yPos = 3
fields829.xPos = 33
fields829.yPos = 4
fields830.xPos = 33
fields830.yPos = 5
fields831.xPos = 33
fields831.yPos = 6
fields832.xPos = 33
fields832.yPos = 7
fields833.xPos = 33
fields833.yPos = 8
fields834.xPos = 33
fields834.yPos = 9
fields835.xPos = 33
fields835.yPos = 10
fields836.xPos = 33
fields836.yPos = 11
fields837.xPos = 33
fields837.yPos = 12
fields838.xPos = 33
fields838.yPos = 13
fields839.xPos = 33
fields839.yPos = 14
fields840.xPos = 33
fields840.yPos = 15
fields841.xPos = 33
fields841.yPos = 16
fields842.xPos = 33
fields842.yPos = 17
fields843.xPos = 33
fields843.yPos = 18
fields844.xPos = 33
fields844.yPos = 19
fields845.xPos = 33
fields845.yPos = 20
fields846.xPos = 33
fields846.yPos = 21
fields847.xPos = 33
fields847.yPos = 22
fields848.xPos = 33
fields848.yPos = 23
fields849.xPos = 33
fields849.yPos = 24
fields850.xPos = 34
fields851.xPos = 34
fields851.yPos = 1
fields852.xPos = 34
fields852.yPos = 2
fields853.xPos = 34
fields853.yPos = 3
fields854.xPos = 34
fields854.yPos = 4
fields855.xPos = 34
fields855.yPos = 5
fields856.xPos = 34
fields856.yPos = 6
fields857.xPos = 34
fields857.yPos = 7
fields858.xPos = 34
fields858.yPos = 8
fields859.xPos = 34
fields859.yPos = 9
fields860.xPos = 34
fields860.yPos = 10
fields861.xPos = 34
fields861.yPos = 11
fields862.xPos = 34
fields862.yPos = 12
fields863.xPos = 34
fields863.yPos = 13
fields864.xPos = 34
fields864.yPos = 14
fields865.xPos = 34
fields865.yPos = 15
